Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Buttons,Chrome 121.0.0.0,,,2024-01-31 18:59:58,2024-01-31 19:00:47,49.738s,PASSED
,,,,,,,
Test Cases/Amazon_Home/Amazon_Home_Search_CheckBox/TC_Amazon_Validate_inputCheckboxButton,Chrome 121.0.0.0,,,2024-01-31 18:59:58,2024-01-31 19:00:47,49.335s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-01-31 18:59:58,2024-01-31 19:00:04,6.432s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 121.0.0.0,,,2024-01-31 19:00:05,2024-01-31 19:00:15,10.175s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""Da vinci code"")",Chrome 121.0.0.0,,,2024-01-31 19:00:15,2024-01-31 19:00:16,1.379s,PASSED
"click(findTestObject(""Amazon_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,2024-01-31 19:00:16,2024-01-31 19:00:31,15.022s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com  Da vinci code/i_Author_a-icon a-icon-checkbox""))",Chrome 121.0.0.0,,,2024-01-31 19:00:31,2024-01-31 19:00:41,9.349s,PASSED
"unchecked = verifyElementNotChecked(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com  Da vinci code/i_Author_a-icon a-icon-checkbox""), 0)",Chrome 121.0.0.0,,,2024-01-31 19:00:41,2024-01-31 19:00:43,2.125s,PASSED
if (unchecked == true),Chrome 121.0.0.0,,,2024-01-31 19:00:43,2024-01-31 19:00:44,0.616s,PASSED
delay(3),Chrome 121.0.0.0,,,2024-01-31 19:00:44,2024-01-31 19:00:47,3.043s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-01-31 19:00:47,2024-01-31 19:00:47,0.736s,PASSED
