Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_Amazon,Chrome 121.0.0.0,,,2024-01-30 09:54:15,2024-01-30 09:55:09,54.218s,PASSED
,,,,,,,
Test Cases/Amazon_Home/TC_AMAZON_HOME_VALIDATE_SIGN_IN-002,Chrome 121.0.0.0,,,2024-01-30 09:54:21,2024-01-30 09:54:45,23.766s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-01-30 09:54:22,2024-01-30 09:54:24,1.817s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 121.0.0.0,,,2024-01-30 09:54:24,2024-01-30 09:54:26,2.687s,PASSED
"click(findTestObject(""Amazon_OR/Page_Amazon Registration/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 121.0.0.0,,,2024-01-30 09:54:26,2024-01-30 09:54:30,4.168s,PASSED
"setText(findTestObject(""Amazon_OR/Page_Amazon Sign-In/input_Email or mobile phone number_email""), mobileno)",Chrome 121.0.0.0,,,2024-01-30 09:54:30,2024-01-30 09:54:32,1.485s,PASSED
"click(findTestObject(""Amazon_OR/Page_Amazon Sign-In/input_Enter your email or mobile phone number_continue""))",Chrome 121.0.0.0,,,2024-01-30 09:54:32,2024-01-30 09:54:34,2.458s,PASSED
"setText(findTestObject(""Amazon_OR/Page_Amazon Sign-In/input_Forgot your password_password""), password)",Chrome 121.0.0.0,,,2024-01-30 09:54:34,2024-01-30 09:54:36,1.686s,PASSED
"click(findTestObject(""Amazon_OR/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,2024-01-30 09:54:36,2024-01-30 09:54:37,0.452s,PASSED
"mouseOver(findTestObject(""Amazon_OR/Page_Amazon.com. Spend less. Smile more/span_Account  Lists""))",Chrome 121.0.0.0,,,2024-01-30 09:54:37,2024-01-30 09:54:42,5.317s,PASSED
"verifyElementPresent(findTestObject(""Amazon_OR/Page_Amazon.com. Spend less. Smile more/span_Manage Profiles""), 20)",Chrome 121.0.0.0,,,2024-01-30 09:54:42,2024-01-30 09:54:44,2.631s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,2024-01-30 09:54:44,2024-01-30 09:54:45,0.695s,PASSED
,,,,,,,
Test Cases/Amazon_Home/TC_Amazon_ValidateSearchFieldItem_002,Chrome 121.0.0.0,,,2024-01-30 09:54:45,2024-01-30 09:55:09,24.227s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,2024-01-30 09:54:46,2024-01-30 09:54:47,1.149s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,2024-01-30 09:54:47,2024-01-30 09:54:49,2.614s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 121.0.0.0,,,2024-01-30 09:54:49,2024-01-30 09:54:54,4.969s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""Da vinci code"")",Chrome 121.0.0.0,,,2024-01-30 09:54:54,2024-01-30 09:54:55,1.121s,PASSED
"click(findTestObject(""Amazon_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,2024-01-30 09:54:55,2024-01-30 09:55:01,5.492s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com  Da vinci code/i_Author_a-icon a-icon-checkbox""))",Chrome 121.0.0.0,,,2024-01-30 09:55:01,2024-01-30 09:55:04,3.442s,PASSED
"unchecked = verifyElementNotChecked(findTestObject(""Object Repository/Amazon_OR/Page_Amazon.com  Da vinci code/i_Author_a-icon a-icon-checkbox""), 0)",Chrome 121.0.0.0,,,2024-01-30 09:55:04,2024-01-30 09:55:05,0.881s,PASSED
if (unchecked == true),Chrome 121.0.0.0,,,2024-01-30 09:55:05,2024-01-30 09:55:06,0.505s,PASSED
delay(3),Chrome 121.0.0.0,,,2024-01-30 09:55:06,2024-01-30 09:55:09,3.028s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,2024-01-30 09:55:09,2024-01-30 09:55:09,0.712s,PASSED
